flipper_scaled,bill_scaled
-1.4162715251128202,-0.8832046685650126
-1.0606960871532076,-0.8099390093207625
-0.420660298825905,-0.6634076908322624
-0.56289047400975,-1.3227986240305143
-0.7762357367855175,-0.8465718389428881
-1.4162715251128202,-0.9198374981871382
-0.420660298825905,-0.8648882537539497
-0.56289047400975,-1.799025409118142
-0.7762357367855175,-0.35202863904419784
-1.0606960871532076,-1.121318061108827
-1.4873866127047426,-1.121318061108827
-1.3451564375208975,-0.5168763723437608
-0.7051206491935951,-0.9747867426203255
-0.2073150360501375,-1.7074433350628289
-1.13181117474513,-1.3411150388415771
-0.420660298825905,-0.9564703278092627
-0.27843012364206,-0.2604465649888849
-1.2029262623370525,-1.7440761646849545
-0.49177538641782753,0.3806279533983056
-1.9140771382562776,-1.121318061108827
-1.4873866127047426,-1.1396344759198884
-0.84735082437744,-1.4693299425190158
-1.13181117474513,-1.0480524018645756
-1.4873866127047426,-0.9381539129982011
-0.9895809995612851,-1.5792284313853915
-1.274041349928975,-0.6084584463990738
-0.9895809995612851,-0.6267748612101366
-2.0563073134401226,-1.103001646297764
-1.4873866127047426,-0.6267748612101366
-1.6296167878885877,-0.8099390093207625
-1.6296167878885877,-1.2312165499752015
-0.9184659119693626,-0.8099390093207625
-1.2029262623370525,-0.5535092019658865
-0.420660298825905,-1.3777478684637028
-0.3495452112339825,-0.8648882537539497
-0.7762357367855175,-0.9381539129982011
-1.4873866127047426,-0.3153958094220721
-1.4162715251128202,-1.1579508907309513
-1.2029262623370525,-0.7549897648875752
-1.3451564375208975,-1.35943145365264
-0.420660298825905,-0.5718256167769494
-1.0606960871532076,-1.451013527707953
-0.3495452112339825,0.03261607198811672
-1.13181117474513,-1.2678493795973271
-0.7762357367855175,-0.7916225945096996
-1.3451564375208975,-0.5168763723437608
-1.558501700296665,-1.176267305542014
-0.7762357367855175,-1.451013527707953
-0.7051206491935951,-0.2970793946110106
-1.0606960871532076,-0.7916225945096996
-0.9184659119693626,-0.7000405204543867
-0.7762357367855175,-1.6341776758185789
-0.06508486086629249,-0.35202863904419784
-0.9895809995612851,-1.7257597498738917
-0.7051206491935951,-0.4619271279105736
-1.0606960871532076,-0.9015210833760754
-0.56289047400975,-0.6084584463990738
-1.4162715251128202,-1.35943145365264
-0.49177538641782753,-1.1579508907309513
-1.13181117474513,-1.5059627721411402
-0.420660298825905,-0.48024354272163644
-1.13181117474513,-1.1579508907309513
-0.6340055616016725,-0.5168763723437608
-1.2029262623370525,-1.3777478684637028
-0.6340055616016725,-0.4252942982884479
-0.420660298825905,-1.5425956017632658
-0.9184659119693626,-0.5168763723437608
-0.7762357367855175,-1.4693299425190158
-0.2073150360501375,-0.3886614686663235
-0.7762357367855175,-1.9089238979845176
-0.7762357367855175,-0.7733061796986368
-0.3495452112339825,-0.7916225945096996
-0.27843012364206,0.3439951237761799
-0.7762357367855175,-1.5425956017632658
-0.420660298825905,-0.20549732055569767
-0.7051206491935951,-0.5535092019658865
-1.2029262623370525,-1.2312165499752015
-0.9895809995612851,-1.4143806980858273
-0.420660298825905,-0.333712224233135
-0.84735082437744,-1.7074433350628289
-0.3495452112339825,-0.18718090574463483
-0.9895809995612851,-1.3227986240305143
-0.56289047400975,-1.615861261007516
-0.7051206491935951,-1.21290013516414
-0.49177538641782753,-0.48024354272163644
-0.7762357367855175,-1.3960642832747658
-0.84735082437744,-1.28616579440839
-0.84735082437744,-1.029735987053514
-0.7762357367855175,-0.9198374981871382
0.07714531431755252,-1.5059627721411402
0.29049057709332005,-0.5168763723437608
-1.13181117474513,-1.8173418239292047
-1.0606960871532076,-0.7916225945096996
-0.9895809995612851,-1.4143806980858273
0.5038358398690875,-0.5718256167769494
-0.7762357367855175,-1.0663688166756384
-0.3495452112339825,-0.6634076908322624
-1.6296167878885877,-1.9821895572287678
-0.6340055616016725,-0.13223166131144629
-0.6340055616016725,-1.6341776758185789
0.14826040190947504,-0.5351927871548237
-1.274041349928975,-1.1396344759198884
-0.7762357367855175,-1.121318061108827
-0.56289047400975,-1.103001646297764
-1.2029262623370525,-0.7733061796986368
-0.13619994845821498,-0.9747867426203255
-0.7762357367855175,-1.0480524018645756
-1.4162715251128202,-1.0663688166756384
-0.27843012364206,-0.13223166131144629
-0.2073150360501375,-1.0663688166756384
-0.7051206491935951,0.3073622941540555
-0.56289047400975,-0.7733061796986368
-0.27843012364206,-0.3153958094220721
-0.7051206491935951,-0.7916225945096996
-0.3495452112339825,-0.22381373536675922
-0.9184659119693626,-0.9747867426203255
-0.13619994845821498,-1.21290013516414
-0.84735082437744,-1.5059627721411402
-0.84735082437744,-0.5168763723437608
-0.9895809995612851,-1.4143806980858273
-0.2073150360501375,-1.1396344759198884
-1.7718469630724327,-0.6817241056433239
0.07714531431755252,-0.4619271279105736
-1.0606960871532076,-1.5975448461964532
-0.13619994845821498,-0.6084584463990738
-0.7051206491935951,-0.9381539129982011
-0.420660298825905,-0.4436107130995108
-0.7051206491935951,-0.9015210833760754
0.6460660150529326,0.03261607198811672
-0.7762357367855175,-0.9931031574313883
-0.27843012364206,-0.15054807612250914
-0.56289047400975,-1.3044822092194528
-0.13619994845821498,-1.176267305542014
-0.9895809995612851,-1.0663688166756384
-0.7762357367855175,-0.5168763723437608
-0.7051206491935951,-1.524279186952203
-0.06508486086629249,-0.6817241056433239
-1.13181117474513,-1.2678493795973271
-0.56289047400975,-0.7733061796986368
-0.56289047400975,-0.6817241056433239
-0.9895809995612851,-0.6084584463990738
-0.9184659119693626,-2.1653537053393936
-0.7762357367855175,-0.5901420315880109
-0.6340055616016725,-1.21290013516414
-1.13181117474513,-0.9015210833760754
-0.7762357367855175,-0.8648882537539497
-1.2029262623370525,-1.3411150388415771
-0.420660298825905,-1.451013527707953
-0.56289047400975,-1.121318061108827
-0.9895809995612851,-1.451013527707953
0.006030226725630017,-0.4436107130995108
0.717181102644855,0.3989443682093684
2.0683677668913827,1.113284545840809
0.6460660150529326,0.8751711532969959
1.2149867157883125,1.113284545840809
1.001641453012545,0.6736905903753072
0.6460660150529326,0.4722100274536185
0.717181102644855,0.2707294645319298
1.2861018033802352,0.5088428570757442
0.5749509274610101,-0.11391524650038475
