x,y,z
153.47505901315859,485.09311835429213,a
184.51167103288125,450.38528725553766,a
186.3650975246503,478.4547465433295,a
148.98313641842168,438.22727797357527,a
121.82071920635423,375.78691302627436,a
126.78985669408182,343.3674997320669,a
121.96065898178335,360.301276034161,a
133.50189770479787,372.919732995504,a
60.47090946941135,348.92058526440826,a
103.8450338383092,391.36073827960223,a
117.64048103924733,372.2018022867693,a
132.6166480008455,360.8634227959824,a
103.72334049184859,336.86642502904465,a
121.84224502396253,401.79625398752654,a
109.50441157555075,388.7794875366896,a
133.71930212993308,346.4692854402639,a
138.70576845785374,344.7665128894113,a
128.17307347375802,376.9372323529199,a
115.15956664672541,342.36595745898177,a
120.6816234528982,369.8876095928772,a
107.51583356592053,333.2396509530199,a
105.53780231113674,374.2542679593149,a
133.53925657851917,328.45953154665426,a
139.27635898467494,378.8147727503987,a
145.8283027583271,346.10576325577904,a
147.3455436469066,347.2407026612176,a
168.3766034865551,319.97212042938366,a
176.32600769182392,344.82846821891127,a
134.3585901824175,321.45478523147403,a
113.2027388126617,380.4930806329149,a
127.60247682776993,328.3829953000047,a
140.88080551312135,355.4929890006914,a
113.68417900806816,390.24345283955853,a
186.50453529745633,369.339206151899,a
151.91706323704614,365.40203490753873,a
173.5804816561303,349.762373268479,a
147.87796579256698,354.8109028785667,a
129.3809067799683,341.24948787209644,a
132.4340573414788,381.9446135583368,a
179.59995664812615,317.0512105637804,a
191.55639372413418,370.4018338526922,a
198.7477809282458,371.73882809260454,a
175.9895571784143,391.6290363943999,a
178.75131606929165,347.5500170019626,a
203.12593010347294,295.21762449919714,a
198.64832948930234,376.9942878110461,a
173.5352621206515,341.8264391296663,a
228.16849428643184,401.9699924545341,a
204.93137086899614,371.03588415042844,a
221.40909105495842,360.7285963757382,a
204.85820629722775,411.4609411465458,a
211.19747439770083,400.7257348378019,a
182.58701816444471,361.38064851255797,a
225.7510221415545,389.349279907598,a
189.0959085950687,450.0616626192989,a
224.29285006841124,446.27084704328354,a
177.71462415813593,377.58282911113974,a
230.11047682813944,427.1993013052569,a
245.47192897365096,385.5144584204713,a
209.01711294992626,460.7779997930644,a
245.41198518901567,416.18605131142175,a
235.6244229099312,400.4509053271659,a
189.24827622175255,419.47733725196315,a
213.3523460506017,415.2820486054491,a
176.26207367604545,432.8007508315669,a
223.84533052672495,408.8473734900732,a
205.95592964116955,401.6142638325987,a
193.37228202345912,407.44944057030597,a
136.2276889643278,395.86175921955066,a
219.6903841930323,390.8669949186232,a
179.98969258108707,416.95663175953837,a
129.13300013853518,427.64570661468565,a
140.00415651746863,369.2733853389549,a
179.5143914518703,399.5574833318539,a
138.66662364029332,374.79084147784215,a
200.16413139882337,352.20706578518457,a
155.67498896743004,353.25603270857636,a
188.7504586167003,332.2862971292503,a
130.50095558677887,341.37984914056756,a
188.42760335181487,351.76745832878294,a
182.88097553141063,345.16640569567,a
162.7259480650941,347.00189879026317,a
189.47066900515074,375.7944155828485,a
199.3352419472504,358.8997998818982,a
187.87300969194095,382.10969602415764,a
192.933298205105,399.9147743400546,a
142.87057820518194,400.67265903023883,a
167.9836559060401,321.4294442167361,a
188.70769137205332,367.2492016756244,a
182.96100950363098,375.989923973798,a
170.90955489405277,363.26173836722376,a
153.95195930843835,420.0566284229234,a
172.84486415930195,359.468905832529,a
140.01699341877048,393.3878366819783,a
167.75332414314687,414.1733712725221,a
156.741400540308,426.31018772841594,a
157.81320670226324,387.8513721873554,a
133.56220909212536,453.7592101084701,a
171.35627247603432,356.2698686266733,a
145.2660980723906,365.1193546110217,a
174.06336917068467,359.2144617169327,a
133.4438942266425,391.7521442866,a
178.67599645908086,381.47648181638203,a
210.4333694624085,384.07761852910687,a
128.50081854405198,399.2530464536392,a
172.7181356043188,335.2547387893287,a
144.96306915606223,364.3474305299357,a
131.592273747844,334.53556129302456,a
204.00771762190325,387.8152031469087,a
207.36727688369365,408.87518835631465,a
146.1418927197824,388.3000817776762,a
143.0174119984999,401.4451513645607,a
150.8811771157334,404.0495257596598,a
114.74906498045175,407.8411608078254,a
157.73204715656536,378.0808133651558,a
192.9650324651837,447.0237832579578,a
90.01063122379553,418.97916957334854,a
180.57002470533058,399.90523031636747,a
143.94049073439254,431.23168388258216,a
149.00120629019995,383.72880963690574,a
108.64098067630658,408.0643785967221,a
205.59315238443668,431.6175039944327,a
124.52458906291561,430.88315285569513,a
153.21164514728457,440.7787463484092,a
160.6783260352369,396.58786770506026,a
158.93305956245746,402.18164934746346,a
174.84162447212447,413.7423499015536,a
174.9581839024909,460.7953723661317,a
196.12307995755296,456.43903538227,a
120.97623482230937,445.9127818021746,a
119.37163054697965,405.9672508887188,a
121.30818174784608,431.24368209076044,a
174.52102429672402,433.7513790647012,a
165.98312622113986,441.4548172385239,a
159.67680814358877,384.99065444129025,a
195.15399673103667,402.561517251059,a
111.32968815804851,380.59307041433453,a
163.30017734173208,424.3375334397665,a
204.5848180279571,403.5293602295634,a
152.8739484792714,447.02318670530644,a
164.30890418664416,427.5036417300917,a
179.48274185712947,432.2473315178564,a
127.57440959263764,381.1804901925495,a
130.56581864061152,415.05031193046625,a
151.7946307418069,390.8631313653415,a
127.32709379797583,403.49128513601977,a
166.97141980393778,404.7875622465804,a
120.23880120908758,426.2276522924144,a
140.92088465138949,408.65723353037714,a
169.1955374278789,369.7845137424978,a
175.71416675148814,363.66429340605976,a
175.3230362414024,407.8541816287577,a
190.74930069789355,420.9613129218543,a
165.18076021281283,365.1410880095192,a
164.53938514138756,417.72793572166097,a
141.38809952696573,383.1392805071078,a
217.21681010351492,394.4727322828695,a
163.51877416653267,352.66046126751564,a
171.18431719939778,406.6222314103888,a
124.28962119416569,409.5951975952407,a
148.83692293087844,359.513232698924,a
153.08944326198176,420.32781382159567,a
167.68443690950565,355.07021313730365,a
169.87899117654527,398.2343396165618,a
71.07447599818207,295.4600403333351,a
109.46494903823125,344.0468531388557,a
102.07867074558008,274.01004900436664,a
85.29787201416697,317.02783539959796,a
52.96544467804426,325.98360645288693,a
83.98782962165325,305.82550362742825,a
139.70738538049616,298.9224211597874,a
181.76999462901276,271.24106327311586,a
170.06700579368098,262.9470685454543,a
540.7367397503847,373.5424957887117,a
521.5943535912046,369.7439085043096,a
525.1193332116424,383.25813572361966,a
559.3062685273691,399.3640419092388,a
509.9512702197604,387.9274937975832,a
502.44949996377943,346.5460561469307,a
408.88192807527537,346.2869518651496,a
474.27535530285456,341.77365586879836,a
464.62069942749406,360.89620697707323,a
462.4324094048851,375.2074902550046,a
467.84999883651597,340.48001938715606,a
481.4433982539926,314.3117065502408,a
488.7298942425266,331.58102362834273,a
510.48623188727277,294.2832547423756,a
501.1410303480925,325.9723203997582,a
527.9863727021145,285.490215380681,a
492.35144350579526,265.81981866421245,a
503.7940299000474,296.1832654801376,a
484.10223344450736,312.8461711036318,a
552.2532368916585,300.42242478161415,a
546.2715954401373,308.6217142168324,a
558.3966604311817,317.3558899674445,a
514.1451072601292,356.83188094300004,a
538.4846200037965,393.5910787875581,a
523.835183089118,355.35215032373316,a
556.7993226517352,320.39999855665815,a
569.7816221064525,333.15200283826823,a
557.5390362300706,370.6518559787853,a
531.6198175763838,365.20043949930357,a
451.4359643184905,380.44615710578415,a
570.4086477144098,363.13730879218616,a
562.1733407265071,341.75901763773885,a
535.0744115855766,474.03178677368413,a
540.590016059848,382.98556237604066,a
475.07870217241873,288.2239866643078,a
510.9301517191683,284.92876265282246,a
466.0124163732687,248.6861839826999,a
499.9160843234608,313.61858529673657,a
526.6710470774146,321.1604567541466,a
270.4873782398363,137.06471717615193,a
243.1321674870339,131.43870564944456,a
271.58392146926815,190.96384944611822,a
230.2523798435198,128.14216608244323,a
204.61128115643885,152.10448365206128,a
265.636665227851,150.5652972644295,a
215.05024727999384,121.12212968044668,a
236.7764925137423,123.19326683666532,a
218.1962851299804,154.80367064309002,a
211.7544088262561,164.34468328218878,a
208.3145291115894,90.03995901589167,a
213.47858440260472,105.15787102058766,a
215.3844715723355,94.40314131567192,a
282.22329239503233,67.86043975249402,a
287.76184957308004,112.67466262185985,a
289.22499207994866,115.75450444678711,a
276.14062229095026,94.0873024565974,a
299.14324110006515,99.72414882606768,a
260.6984386383679,124.30503971604969,a
320.90075335473557,155.93423789074114,a
275.527104431498,133.15787461914806,a
648.8070047192224,17.0660492699584,a
629.8914704251488,74.88553431329825,a
624.7029031768682,60.22423608612701,a
633.3884380959181,107.47329217749183,a
599.3486795307111,76.87596045441188,a
613.105512786336,123.57462307632596,a
584.8849951885361,136.0658620987594,a
577.4174433938981,102.96002301580768,a
567.5423206356571,148.7660869542014,a
600.6636330928524,69.86306508669259,a
575.8973118268553,77.9546249311017,a
565.2936853557848,95.08005205661647,a
586.6584993722684,85.79190300870874,a
513.896427516777,376.2589635271821,a
507.02470946208706,294.11730392110667,a
501.66345057406164,435.6336746452115,a
541.5729288891725,433.5862702524343,a
470.4625977775943,449.68179258754355,a
534.4104400888154,422.82117563305917,a
522.5913897253708,423.0835116392966,a
520.9839541823233,383.8134800344742,a
547.5560269020584,389.9623895945163,a
590.6067092350493,331.8505119931831,a
431.3021428819219,446.01019205014603,a
424.71977530161337,451.05375230408,a
457.0782851453998,412.73984679519145,a
475.87482135566154,424.5702625731524,a
501.716615526321,386.6686364514752,a
465.8755915032779,361.5940911635213,a
569.1312206436492,387.3251556965505,a
452.7483273373509,462.08564387100944,a
452.26763107234416,409.376332822891,a
428.2477349764141,368.7728776655666,a
446.04714285720985,399.75256216974884,a
483.5287708082692,361.21905740265,a
478.63688126203164,416.46285046443415,a
517.3407621194596,362.74743160950555,a
521.3536477157663,368.1681178280603,a
520.9213609017334,358.14845519942645,a
518.5107460755283,375.6990641548651,a
469.9503189840761,379.9831936689299,a
518.0657881454374,346.6831313996527,a
497.0976592322725,360.9789938748711,a
483.930899672633,358.92554356316487,a
465.53779857803534,315.44521744828717,a
502.46637264390347,292.6535941558552,a
520.2489943803998,297.1902876675386,a
506.41976770615344,304.173637226058,a
527.0544656950759,303.24932993975347,a
502.66672960380293,326.6193844383738,a
498.41572630623136,275.3428127805642,a
518.1988944877762,322.8993908489813,a
495.92033642164165,321.7075407478085,a
492.80174434923623,323.13025196135806,a
533.4554881042291,327.57893284319186,a
543.1561425317526,343.5329347446087,a
543.7136865992403,330.7131130078288,a
558.1939519324761,354.3831145288021,a
567.6828991457019,339.0405456898776,a
509.55751376461177,365.9851359223479,a
464.2526574590419,395.89614195740313,a
502.91379586181245,390.29612546736905,a
457.0235788640639,398.33559069202204,a
481.3873335350872,390.6649450351174,a
489.33120825324534,386.26779209587204,a
475.5496774723315,430.3842375681744,a
495.0254321749419,379.7777642653591,a
467.2857068038139,369.77126196791306,a
476.8158070730973,359.7346698201774,a
421.82956864483003,389.7682746505492,a
457.68295159566316,434.4613614069842,a
484.09566300162777,410.93657806794386,a
528.6449516298941,418.80302600333073,a
467.25187049507304,362.655601776337,a
506.99125415014714,432.9207186496223,a
516.8245921722737,365.3625658592805,a
471.11191185912077,366.5373895923867,a
560.8404935037564,357.0813817725998,a
524.1531711961758,336.0043602877182,a
478.6041671148967,398.57755031221484,a
519.6859541565324,413.84387308866036,a
547.9859057134222,426.91045650183605,a
530.9993722832512,415.04843218960093,a
521.9998999338566,377.46509611014676,a
455.7586327174918,426.3289641888771,a
472.4813794806478,438.12196935681214,a
487.559603344071,365.5327331293041,a
429.44425185508624,390.4677654026854,a
443.51610192087503,353.7786541981065,a
460.56368060500256,391.2261861077674,a
457.95974461373214,306.9673239976845,a
450.3685409597622,326.76766079002107,a
499.2478954643685,333.8857572805863,a
509.08634086535716,295.3730173321807,a
478.7906703125762,343.264431603517,a
491.4439206559112,372.44935315931247,a
482.74631600282584,321.1985089383778,a
494.17568150623384,297.72891747047174,a
475.59986108937846,362.7750883325513,a
488.23415968795956,401.00951066715595,a
479.3535172689167,342.64977445157314,a
494.77452212899635,315.6851508796572,a
499.2953635110184,370.4699585138418,a
429.2380515062763,347.07186837233087,a
486.61694060378204,408.1089519171443,a
468.4313403804364,363.5434651664883,a
475.8530054326795,373.0985008093796,a
426.7749955738165,334.0387614657469,a
365.7751541821202,341.7227423774207,a
411.2231879920795,279.3349732829855,a
460.5345698215427,321.8342000956693,a
465.72970683217875,252.61917825388508,a
